n,p0,phi0,delta,tau,gx,gy,UCL,ARL0,ARL1,desv,t
100,0.01,0.7,1.5,0.9,1,3,1,377.6909431044404,58.50212166656009,-0.845105839219494,2.109375
100,0.01,0.7,1.5,0.8,3,8,1,377.69094310444217,43.154619559309616,-0.885740920328671,2.078125
100,0.01,0.7,1.5,0.75,1,3,1,377.6909431044404,37.6251054691583,-0.900381234562052,2.09375
100,0.01,0.7,1.5,0.5,1,3,1,377.6909431044404,21.21908632729291,-0.943818916723599,2.109375
100,0.01,0.7,1.7,1,1,3,1,377.6909431044404,56.92181849131434,-0.849289956429868,2.15625
100,0.01,0.7,1.7,0.9,3,8,1,377.69094310444217,40.642086772456025,-0.892393271497597,2.109375
100,0.01,0.7,1.7,0.8,1,3,1,377.6909431044404,30.533444439016048,-0.919157594333489,2.0625
100,0.01,0.7,1.7,0.75,3,8,1,377.69094310444217,26.864607556771336,-0.928871454168435,2.125
100,0.01,0.7,1.7,0.5,3,8,1,377.69094310444217,15.83133411757282,-0.958083892646599,2.0625
100,0.01,0.7,2,1,3,8,1,377.69094310444217,36.778562699662444,-0.902622598261531,2.125
100,0.01,0.7,2,0.9,3,8,1,377.69094310444217,26.921777981958215,-0.928720085897019,2.265625
100,0.01,0.7,2,0.8,3,8,1,377.69094310444217,20.712703435743325,-0.945159650201049,2.109375
100,0.01,0.7,2,0.75,3,8,1,377.69094310444217,18.433381223732574,-0.951194537331981,2.046875
100,0.01,0.7,2,0.5,3,8,1,377.69094310444217,11.439592553550641,-0.969711763645899,2.0625
100,0.02,0.9,1.1,1,2,9,1,375.2499275955142,263.97967338021533,-0.296523053124311,3.171875
100,0.02,0.9,1.1,0.9,2,9,1,375.2499275955142,99.67142293577201,-0.734386563178211,3.234375
100,0.02,0.9,1.1,0.8,2,9,1,375.2499275955142,52.79964694619163,-0.859294717831085,3.375
100,0.02,0.9,1.1,0.75,2,9,1,375.2499275955142,41.128177794433135,-0.890397906115612,3.125
100,0.02,0.9,1.1,0.5,2,9,1,375.2499275955142,17.169030234581037,-0.954246412931789,2.9375
100,0.02,0.9,1.2,1,2,9,1,375.2499275955142,195.9629587344211,-0.477780155774869,3.0
100,0.02,0.9,1.2,0.9,2,9,1,375.2499275955142,76.6911013691813,-0.795626605818169,3.03125
100,0.02,0.9,1.2,0.8,2,9,1,375.2499275955142,41.907214361658596,-0.888321858900314,2.96875
100,0.02,0.9,1.2,0.75,2,9,1,375.2499275955142,33.099076897143945,-0.911794581522686,3.015625
100,0.02,0.9,1.2,0.5,2,9,1,375.2499275955142,14.576336907908619,-0.961155656974248,2.875
100,0.02,0.9,1.3,1,2,9,1,375.2499275955142,151.93276723244261,-0.595115798673217,3.046875
100,0.02,0.9,1.3,0.9,2,9,1,375.2499275955142,61.489544102647045,-0.83613709269272,3.046875
100,0.02,0.9,1.3,0.8,2,9,1,375.2499275955142,34.539337047433115,-0.907956445804665,3.265625
100,0.02,0.9,1.3,0.75,2,9,1,375.2499275955142,27.605558720205917,-0.926434206404532,2.984375
100,0.02,0.9,1.3,0.5,2,9,1,375.2499275955142,12.698360183332934,-0.966160259471067,2.921875
100,0.02,0.9,1.5,1,2,9,1,375.2499275955142,100.90243327901888,-0.731106055301407,3.0625
100,0.02,0.9,1.5,0.9,2,9,1,375.2499275955142,43.2939351904801,-0.884626399616132,2.65625
100,0.02,0.9,1.5,0.8,2,9,1,375.2499275955142,25.439185749768097,-0.932207353342412,2.796875
100,0.02,0.9,1.5,0.75,2,9,1,375.2499275955142,20.714745558192256,-0.944797469540031,2.78125
100,0.02,0.9,1.5,0.5,3,5,2,447.09406240308056,10.08999445694067,-0.977432054447987,3.03125
100,0.02,0.9,1.7,1,3,5,2,447.09406240308056,71.77208459433322,-0.839469832794096,3.015625
100,0.02,0.9,1.7,0.9,3,5,2,447.09406240308056,32.67391613806224,-0.92691936913131,3.3125
100,0.02,0.9,1.7,0.8,3,5,2,447.09406240308056,19.758396627605435,-0.955807069945402,3.078125
100,0.02,0.9,1.7,0.75,3,5,2,447.09406240308056,16.20969311140591,-0.963744333744267,3.0625
100,0.02,0.9,1.7,0.5,3,5,2,447.09406240308056,7.981032302582776,-0.982149097977983,3.0
100,0.02,0.9,2,1,4,3,3,526.336664071578,47.28659454207246,-0.910159033618752,3.328125
100,0.02,0.9,2,0.9,3,5,2,447.09406240308056,22.68605357712043,-0.949258879764169,3.4375
100,0.02,0.9,2,0.8,3,5,2,447.09406240308056,14.187920644166123,-0.968266363082731,3.015625
100,0.02,0.9,2,0.75,3,5,2,447.09406240308056,11.80805342702204,-0.973589330702458,3.640625
100,0.02,0.9,2,0.5,3,5,2,447.09406240308056,6.136392279487302,-0.986274941236068,3.0
100,0.02,0.8,1.1,1,1,6,1,416.0004399844849,261.8758409511308,-0.370491432747288,3.421875
100,0.02,0.8,1.1,0.9,1,6,1,416.0004399844849,117.28126381470307,-0.718074183241062,3.359375
100,0.02,0.8,1.1,0.8,1,6,1,416.0004399844849,64.30254674596254,-0.845426733807395,3.25
100,0.02,0.8,1.1,0.75,3,17,1,416.00043998448206,50.30686083158803,-0.879070173979949,3.609375
100,0.02,0.8,1.1,0.5,1,6,1,416.0004399844849,21.26755831006849,-0.948876115826075,3.6875
100,0.02,0.8,1.2,1,3,17,1,416.00043998448206,178.62396569429998,-0.570615921221229,3.578125
100,0.02,0.8,1.2,0.9,3,17,1,416.00043998448206,84.26552362439031,-0.797438859373481,3.625
100,0.02,0.8,1.2,0.8,3,17,1,416.00043998448206,48.50083929396994,-0.883411567315219,3.703125
100,0.02,0.8,1.2,0.75,3,17,1,416.00043998448206,38.78807846768242,-0.906759525376633,3.375
100,0.02,0.8,1.2,0.5,1,6,1,416.0004399844849,17.770839558382832,-0.957281680858208,3.546875
100,0.02,0.8,1.3,1,4,7,2,426.1902549392679,129.3990866426171,-0.696381873721968,3.375
100,0.02,0.8,1.3,0.9,1,6,1,416.0004399844849,64.28575530181563,-0.845467097813134,3.46875
100,0.02,0.8,1.3,0.8,3,17,1,416.00043998448206,38.5835639196328,-0.907251146366402,3.21875
100,0.02,0.8,1.3,0.75,3,17,1,416.00043998448206,31.41883256648508,-0.924474040057128,3.78125
100,0.02,0.8,1.3,0.5,1,6,1,416.0004399844849,15.315705271630804,-0.963183439728568,3.765625
100,0.02,0.8,1.5,1,1,2,2,426.19025493926534,75.01191249682768,-0.823994303887785,3.6875
100,0.02,0.8,1.5,0.9,3,17,1,416.00043998448206,42.49625127035998,-0.897845657874916,3.8125
100,0.02,0.8,1.5,0.8,1,6,1,416.0004399844849,27.221306766109766,-0.934564235636084,3.90625
100,0.02,0.8,1.5,0.75,1,6,1,416.0004399844849,22.76428579521157,-0.945278217022894,3.34375
100,0.02,0.8,1.5,0.5,4,7,2,426.1902549392679,12.04936308676648,-0.97172773673935,3.578125
100,0.02,0.8,1.7,1,4,7,2,426.1902549392679,49.472961238412886,-0.883918131245251,3.328125
100,0.02,0.8,1.7,0.9,1,2,2,426.19025493926534,29.851576299616447,-0.929957158912818,3.453125
100,0.02,0.8,1.7,0.8,4,7,2,426.1902549392679,20.2524907632791,-0.952480164601217,3.515625
100,0.02,0.8,1.7,0.75,1,2,2,426.19025493926534,17.186987122957998,-0.959672970172893,3.734375
100,0.02,0.8,1.7,0.5,1,2,2,426.19025493926534,9.163810645697565,-0.978498310227662,3.609375
100,0.02,0.8,2,1,1,2,2,426.19025493926534,31.18010172703436,-0.926839946794471,3.1875
100,0.02,0.8,2,0.9,4,7,2,426.1902549392679,19.667904434942017,-0.95385182038537,3.5625
100,0.02,0.8,2,0.8,1,2,2,426.19025493926534,13.848058255731315,-0.96750733247595,3.296875
100,0.02,0.8,2,0.75,4,7,2,426.1902549392679,11.945158928605213,-0.971972238242971,3.21875
100,0.02,0.8,2,0.5,1,2,2,426.19025493926534,6.788791305486264,-0.984070984198233,3.203125
100,0.02,0.7,1.1,1,5,12,2,473.00956652235396,275.6399278823081,-0.417263524057538,3.71875
100,0.02,0.7,1.1,0.9,1,9,1,511.78098132625513,132.19669035762274,-0.741692842873837,3.71875
100,0.02,0.7,1.1,0.8,1,9,1,511.78098132625513,74.56433698538137,-0.854304204911734,3.71875
100,0.02,0.7,1.1,0.75,1,9,1,511.78098132625513,59.229954469224396,-0.884266987968695,3.9375
100,0.02,0.7,1.1,0.5,1,9,1,511.78098132625513,27.274586721447335,-0.946706525414901,3.6875
100,0.02,0.7,1.2,1,5,12,2,473.00956652235396,174.87969237586984,-0.630282969408811,3.78125
100,0.02,0.7,1.2,0.9,1,9,1,511.78098132625513,89.70585401866572,-0.824718273457139,3.6875
100,0.02,0.7,1.2,0.8,1,9,1,511.78098132625513,54.5452619321581,-0.893420693768637,3.96875
100,0.02,0.7,1.2,0.75,1,9,1,511.78098132625513,44.72481942577368,-0.91260945393111,3.765625
100,0.02,0.7,1.2,0.5,1,9,1,511.78098132625513,22.74797085179229,-0.955551355595821,3.71875
100,0.02,0.7,1.3,1,2,5,2,473.00956652235544,118.96823942336061,-0.748486610327916,3.828125
100,0.02,0.7,1.3,0.9,1,9,1,511.78098132625513,66.3370766454358,-0.870379949498071,3.75
100,0.02,0.7,1.3,0.8,1,9,1,511.78098132625513,42.79431221225068,-0.916381589442125,3.59375
100,0.02,0.7,1.3,0.75,1,9,1,511.78098132625513,35.92570793744781,-0.929802573271972,3.53125
100,0.02,0.7,1.3,0.5,1,9,1,511.78098132625513,19.600555036011727,-0.961701282870618,3.59375
100,0.02,0.7,1.5,1,5,12,2,473.00956652235396,64.73178758844874,-0.863149094289217,3.640625
100,0.02,0.7,1.5,0.9,1,9,1,511.78098132625513,42.880850767913145,-0.916212496492563,3.78125
100,0.02,0.7,1.5,0.8,1,9,1,511.78098132625513,30.005726519708475,-0.941369985180086,3.546875
100,0.02,0.7,1.5,0.75,1,9,1,511.78098132625513,25.976307424043675,-0.949243312331131,3.75
100,0.02,0.7,1.5,0.5,2,5,2,473.00956652235544,14.226670371122538,-0.969923081100199,3.625
100,0.02,0.7,1.7,1,5,3,4,469.10450972104877,41.066271537208536,-0.91245816084431,3.65625
100,0.02,0.7,1.7,0.9,2,5,2,473.00956652235544,28.343245895719118,-0.940078916153634,3.640625
100,0.02,0.7,1.7,0.8,2,5,2,473.00956652235544,20.801309366529395,-0.956023491196036,3.578125
100,0.02,0.7,1.7,0.75,5,12,2,473.00956652235396,18.16130739352988,-0.961604777833448,3.578125
100,0.02,0.7,1.7,0.5,5,12,2,473.00956652235396,10.563059158832512,-0.97766840269956,3.640625
100,0.02,0.7,2,1,5,3,4,469.10450972104877,23.49060539944471,-0.949924579890708,3.640625
100,0.02,0.7,2,0.9,5,3,4,469.10450972104877,17.889220789565865,-0.961865169873972,3.640625
100,0.02,0.7,2,0.8,5,12,2,473.00956652235396,13.890144978503427,-0.97063453688553,3.6875
100,0.02,0.7,2,0.75,5,12,2,473.00956652235396,12.336177929777993,-0.973919813037872,3.671875
100,0.02,0.7,2,0.5,5,12,2,473.00956652235396,7.68166486175847,-0.983760022195247,3.8125
100,0.05,0.9,1.1,1,7,10,4,381.0213300590989,226.9612143964845,-0.404334622522887,6.8125
100,0.05,0.9,1.1,0.9,1,14,1,434.36065931548825,64.51285530848264,-0.851476292972414,6.90625
100,0.05,0.9,1.1,0.8,3,17,2,469.96303305080346,31.93448890846821,-0.932048934357319,6.421875
100,0.05,0.9,1.1,0.75,3,17,2,469.96303305080346,24.317512008784018,-0.948256542964826,6.3125
100,0.05,0.9,1.1,0.5,3,8,3,406.50309752761393,10.375914747349377,-0.974475188970375,5.921875
100,0.05,0.9,1.2,1,7,10,4,381.0213300590989,148.0300824642483,-0.611491350257772,6.0625
100,0.05,0.9,1.2,0.9,3,17,2,469.96303305080346,52.55625858086046,-0.888169377408926,6.0
100,0.05,0.9,1.2,0.8,3,17,2,469.96303305080346,25.890207427656257,-0.9449101192926,6.15625
100,0.05,0.9,1.2,0.75,3,17,2,469.96303305080346,20.175445584832946,-0.957070143466684,5.796875
100,0.05,0.9,1.2,0.5,3,8,3,406.50309752761393,8.699678261711183,-0.978598740539436,6.03125
100,0.05,0.9,1.3,1,7,10,4,381.0213300590989,103.74606263008528,-0.727715866683911,5.984375
100,0.05,0.9,1.3,0.9,5,13,3,406.50309752761405,40.43662781092388,-0.900525658828031,6.25
100,0.05,0.9,1.3,0.8,5,13,3,406.50309752761405,21.302091751703237,-0.947596729566725,5.9375
100,0.05,0.9,1.3,0.75,5,13,3,406.50309752761405,16.752103900858714,-0.958789726320054,6.015625
100,0.05,0.9,1.3,0.5,3,8,3,406.50309752761393,7.521844263828857,-0.981496219070463,5.84375
100,0.05,0.9,1.5,1,2,3,4,381.02133005909945,59.846877116573076,-0.84293037582098,6.125
100,0.05,0.9,1.5,0.9,7,10,4,381.0213300590989,25.75785116147213,-0.932397876104529,5.6875
100,0.05,0.9,1.5,0.8,7,10,4,381.0213300590989,15.124891353129119,-0.960304344770453,6.1875
100,0.05,0.9,1.5,0.75,2,3,4,381.02133005909945,12.29628227156127,-0.967728099973683,5.6875
100,0.05,0.9,1.5,0.5,2,3,4,381.02133005909945,5.939157460405046,-0.984412532864016,5.796875
100,0.05,0.9,1.7,1,7,6,5,456.65045629601786,39.21199360333797,-0.9141312724805,5.9375
100,0.05,0.9,1.7,0.9,1,1,5,456.65045629601764,18.235693222946654,-0.960066407530039,5.984375
100,0.05,0.9,1.7,0.8,7,6,5,456.65045629601786,11.257517378914912,-0.975347627000689,6.015625
100,0.05,0.9,1.7,0.75,1,1,5,456.65045629601764,9.325157475535672,-0.979579222254207,6.0
100,0.05,0.9,1.7,0.5,1,1,5,456.65045629601764,4.775565196642833,-0.989542186740864,5.96875
100,0.05,0.9,2,1,7,6,5,456.65045629601786,24.50705967854895,-0.946333000787231,6.109375
100,0.05,0.9,2,0.9,1,1,5,456.65045629601764,12.11777707944935,-0.973463779763324,6.03125
100,0.05,0.9,2,0.8,7,6,5,456.65045629601786,7.828842475245517,-0.982855940758831,6.265625
100,0.05,0.9,2,0.75,1,1,5,456.65045629601764,6.606627362227831,-0.985532419225384,6.015625
100,0.05,0.9,2,0.5,1,1,5,456.65045629601764,3.615686043376596,-0.992082158260162,6.421875
100,0.05,0.8,1.1,1,4,3,6,372.8325310526024,197.51319120691247,-0.470236165687361,7.3125
100,0.05,0.8,1.1,0.9,2,19,2,438.8071873308454,79.58841245108073,-0.818625549560395,7.296875
100,0.05,0.8,1.1,0.8,2,19,2,438.8071873308454,41.267452127845644,-0.905955386968784,7.4375
100,0.05,0.8,1.1,0.75,2,19,2,438.8071873308454,32.62481656560969,-0.925651134467376,7.46875
100,0.05,0.8,1.1,0.5,2,9,3,399.9458176484295,13.893338486844526,-0.965261948309564,7.625
100,0.05,0.8,1.2,1,4,1,8,372.897051090001,116.71279346818393,-0.687010682634723,7.703125
100,0.05,0.8,1.2,0.9,5,22,3,399.94581764842945,56.87133052250205,-0.857802412194507,7.28125
100,0.05,0.8,1.2,0.8,2,9,3,399.9458176484295,31.45756811181824,-0.921345425495933,7.546875
100,0.05,0.8,1.2,0.75,5,22,3,399.94581764842945,25.01380026347894,-0.937457027527995,7.671875
100,0.05,0.8,1.2,0.5,2,9,3,399.9458176484295,11.572131041068664,-0.971065753083481,7.46875
100,0.05,0.8,1.3,1,4,1,8,372.897051090001,74.3808030608329,-0.800532605866918,7.09375
100,0.05,0.8,1.3,0.9,2,9,3,399.9458176484295,42.28078462867077,-0.8942837185365,7.453125
100,0.05,0.8,1.3,0.8,2,9,3,399.9458176484295,24.80249603202968,-0.937985359672313,7.640625
100,0.05,0.8,1.3,0.75,2,9,3,399.9458176484295,20.16510915820173,-0.94958039747292,7.40625
100,0.05,0.8,1.3,0.5,4,9,4,384.9459888392872,9.861206187816386,-0.974382883641545,7.34375
100,0.05,0.8,1.5,1,4,1,8,372.897051090001,36.6632437373885,-0.901679984783415,7.328125
100,0.05,0.8,1.5,0.9,4,3,6,372.8325310526024,23.61900310438088,-0.936649833002237,7.453125
100,0.05,0.8,1.5,0.8,4,3,6,372.8325310526024,16.172521858431168,-0.956622557015687,7.234375
100,0.05,0.8,1.5,0.75,4,3,6,372.8325310526024,13.77495952143909,-0.963053225311244,7.34375
100,0.05,0.8,1.5,0.5,7,10,5,384.45739340464877,7.19918724464967,-0.981274421124027,7.53125
100,0.05,0.8,1.7,1,4,1,8,372.897051090001,21.914418041227936,-0.941231988890309,7.3125
100,0.05,0.8,1.7,0.9,4,1,8,372.897051090001,15.194627827462508,-0.959252485952764,7.140625
100,0.05,0.8,1.7,0.8,4,3,6,372.8325310526024,10.851341665374418,-0.970894863614131,7.40625
100,0.05,0.8,1.7,0.75,4,3,6,372.8325310526024,9.389790777224016,-0.974814990658904,7.234375
100,0.05,0.8,1.7,0.5,4,3,6,372.8325310526024,5.380966763161366,-0.98556733569367,7.75
100,0.05,0.8,2,1,4,1,8,372.897051090001,12.861901275940358,-0.965508171120302,7.265625
100,0.05,0.8,2,0.9,4,1,8,372.897051090001,9.038129739129541,-0.975762399534374,7.21875
100,0.05,0.8,2,0.8,4,1,8,372.897051090001,6.919429909131587,-0.981444128107461,7.296875
100,0.05,0.8,2,0.75,4,1,8,372.897051090001,6.17966777950576,-0.983427952134665,7.484375
100,0.05,0.8,2,0.5,4,3,6,372.8325310526024,3.860819083888416,-0.989644629257569,7.265625
100,0.05,0.7,1.1,1,3,2,7,396.93504539989334,193.92239736784293,-0.511450551884439,8.515625
100,0.05,0.7,1.1,0.9,1,19,2,385.1420654520219,81.47333710263973,-0.788459001467371,8.46875
100,0.05,0.7,1.1,0.8,1,19,2,385.1420654520219,47.56162459311442,-0.876508881113015,9.203125
100,0.05,0.7,1.1,0.75,1,7,3,417.4380254753674,37.60425818160237,-0.909916548357616,8.078125
100,0.05,0.7,1.1,0.5,1,7,3,417.4380254753674,16.75517376030336,-0.959861889100249,8.609375
100,0.05,0.7,1.2,1,3,2,7,396.93504539989334,107.25429666059617,-0.729793834271946,8.3125
100,0.05,0.7,1.2,0.9,1,7,3,417.4380254753674,56.42889395968486,-0.864820906299982,8.640625
100,0.05,0.7,1.2,0.8,1,7,3,417.4380254753674,33.76233642384684,-0.919120122357326,8.46875
100,0.05,0.7,1.2,0.75,1,7,3,417.4380254753674,27.545493733583797,-0.934012974255961,8.40625
100,0.05,0.7,1.2,0.5,1,7,3,417.4380254753674,13.616507072964815,-0.967380769738313,8.390625
100,0.05,0.7,1.3,1,8,5,7,396.93504539989357,65.63609112461671,-0.834642740959061,8.328125
100,0.05,0.7,1.3,0.9,1,7,3,417.4380254753674,40.614924500905325,-0.902704300944663,8.328125
100,0.05,0.7,1.3,0.8,1,7,3,417.4380254753674,25.910819436536265,-0.937928943087947,8.71875
100,0.05,0.7,1.3,0.75,1,7,3,417.4380254753674,21.657660462593743,-0.948117662644818,8.1875
100,0.05,0.7,1.3,0.5,4,15,4,438.3720527377331,11.03983593559269,-0.97481628706336,8.328125
100,0.05,0.7,1.5,1,9,2,9,402.501062158307,30.42167481479064,-0.924418398670397,8.328125
100,0.05,0.7,1.5,0.9,8,5,7,396.93504539989357,21.893919900382926,-0.944842562645669,8.484375
100,0.05,0.7,1.5,0.8,1,2,5,429.09991206725266,16.16918254085511,-0.962318373679086,8.15625
100,0.05,0.7,1.5,0.75,1,2,5,429.09991206725266,13.896354246053182,-0.967615108147877,8.390625
100,0.05,0.7,1.5,0.5,1,2,5,429.09991206725266,7.727130310363222,-0.981992235157689,8.421875
100,0.05,0.7,1.7,1,9,2,9,402.501062158307,17.079170119242775,-0.957567391182373,8.578125
