n,p0,phi0,delta,ARL0,ARL1,desv,grafico
500,0.01,0.9,2,418.71812594961693,24.48388478814148,-0.941526570571517,CEWMA
500,0.01,0.9,1.1,370.4,218.2,-0.4109071274298056,CUSUM
500,0.01,0.9,1.2,370.4,140.5,-0.6206803455723542,CUSUM
500,0.01,0.9,1.3,370.4,97.0,-0.7381209503239741,CUSUM
500,0.01,0.9,1.5,370.4,54.0,-0.8542116630669546,CUSUM
500,0.01,0.9,1.7,370.4,35.0,-0.9055075593952484,CUSUM
500,0.01,0.9,2,370.4,21.9,-0.9408747300215984,CUSUM
500,0.02,0.9,1.1,373.3440578984858,181.11896564020896,-0.514873849446785,CEWMA
500,0.02,0.9,1.2,373.3440578984858,101.07176610181465,-0.729279831931069,CEWMA
500,0.02,0.9,1.3,373.3440578984858,63.17633043084392,-0.830782547373442,CEWMA
500,0.02,0.9,1.5,373.3440578984858,31.875381600243518,-0.914621966184043,CEWMA
500,0.02,0.9,1.7,373.3440578984858,20.380222375507394,-0.945411686768967,CEWMA
500,0.02,0.9,2,373.3440578984858,13.698160455181327,-0.963309552769403,CEWMA
500,0.02,0.9,1.1,370.4,185.3,-0.49973002159827207,CUSUM
500,0.02,0.9,1.2,370.4,106.7,-0.7119330453563715,CUSUM
500,0.02,0.9,1.3,370.4,68.1,-0.8161447084233261,CUSUM
500,0.02,0.9,1.5,370.4,34.5,-0.9068574514038877,CUSUM
500,0.02,0.9,1.7,370.4,21.5,-0.9419546436285097,CUSUM
500,0.02,0.9,2,370.4,13.9,-0.9624730021598272,CUSUM
500,0.05,0.9,1.1,372.4448535123042,127.8586764518456,-0.656704408059107,CEWMA
500,0.05,0.9,1.2,372.4448535123042,57.66754144364296,-0.845164885754723,CEWMA
500,0.05,0.9,1.3,372.4448535123042,32.137161795383626,-0.913712965846306,CEWMA
500,0.05,0.9,1.5,372.4448535123042,15.730355545103492,-0.957764604889126,CEWMA
500,0.05,0.9,1.7,372.4448535123042,11.463120027693021,-0.969221966904385,CEWMA
500,0.05,0.9,2,372.4448535123042,10.124540287272684,-0.972816001639452,CEWMA
500,0.05,0.9,1.1,388.9,127.4,-0.6724093597325791,CUSUM
500,0.05,0.9,1.2,388.9,57.0,-0.8534327590640267,CUSUM
500,0.05,0.9,1.3,388.9,31.9,-0.9179737721779379,CUSUM
500,0.05,0.9,1.5,388.9,15.7,-0.9596297248650039,CUSUM
500,0.05,0.9,1.7,388.9,11.5,-0.9704294163023913,CUSUM
500,0.05,0.9,2,388.9,10.1,-0.9740293134481871,CUSUM
500,0.01,0.8,1.1,375.13210112142104,202.8357220383359,-0.459295215120278,CEWMA
500,0.01,0.8,1.2,375.13210112142104,120.19653321066698,-0.679588782587917,CEWMA
500,0.01,0.8,1.3,375.13210112142104,76.92739864177341,-0.794932509343224,CEWMA
500,0.01,0.8,1.5,375.13210112142104,37.93463978595154,-0.89887658328213,CEWMA
500,0.01,0.8,1.7,375.13210112142104,22.580989060593232,-0.939805233961344,CEWMA
500,0.01,0.8,2,375.13210112142104,13.1717762737617,-0.964887632291702,CEWMA
500,0.01,0.8,1.1,370.3,197.7,-0.46610856062651906,CUSUM
500,0.01,0.8,1.2,370.3,118.9,-0.6789089927086146,CUSUM
500,0.01,0.8,1.3,370.3,78.3,-0.7885498244666487,CUSUM
500,0.01,0.8,1.5,370.3,41.4,-0.8881987577639752,CUSUM
500,0.01,0.8,1.7,370.3,26.1,-0.9295166081555495,CUSUM
500,0.01,0.8,2,370.3,15.8,-0.9573318930596814,CUSUM
500,0.02,0.8,1.1,388.78272576760435,169.1376797656545,-0.564955774638102,CEWMA
500,0.02,0.8,1.2,388.78272576760435,86.13620935673033,-0.778446408114802,CEWMA
500,0.02,0.8,1.3,388.78272576760435,49.79587194507393,-0.871918507061346,CEWMA
500,0.02,0.8,1.5,388.78272576760435,22.13099791843735,-0.943076179954388,CEWMA
500,0.02,0.8,1.7,388.78272576760435,12.83015014010477,-0.96699917643004,CEWMA
500,0.02,0.8,2,388.78272576760435,7.759340462684703,-0.980041961876354,CEWMA
500,0.02,0.8,1.1,369.7,160.9,-0.5647822558831485,CUSUM
500,0.02,0.8,1.2,369.7,81.0,-0.7809034352177441,CUSUM
500,0.02,0.8,1.3,369.7,46.0,-0.8755747903705707,CUSUM
500,0.02,0.8,1.5,369.7,19.7,-0.9467135515282662,CUSUM
500,0.02,0.8,1.7,369.7,11.3,-0.9694346767649445,CUSUM
500,0.02,0.8,2,369.7,7.0,-0.9810657289694347,CUSUM
500,0.05,0.8,1.1,371.29025102929387,110.16774695727372,-0.703284030076561,CEWMA
500,0.05,0.8,1.2,371.29025102929387,44.31166326783336,-0.880654923890427,CEWMA
500,0.05,0.8,1.3,371.29025102929387,22.571793511983127,-0.939207147374838,CEWMA
500,0.05,0.8,1.5,371.29025102929387,9.614589011611006,-0.974104924691781,CEWMA
500,0.05,0.8,1.7,371.29025102929387,6.298376052784619,-0.983036516484544,CEWMA
500,0.05,0.8,2,371.29025102929387,5.140158465047803,-0.98615595628811,CEWMA
500,0.05,0.8,1.1,376.4,105.2,-0.7205100956429331,CUSUM
500,0.05,0.8,1.2,376.4,40.4,-0.8926673751328374,CUSUM
500,0.05,0.8,1.3,376.4,20.1,-0.9465993623804463,CUSUM
500,0.05,0.8,1.5,376.4,8.7,-0.9768862911795962,CUSUM
500,0.05,0.8,1.7,376.4,6.0,-0.9840595111583422,CUSUM
500,0.05,0.8,2,376.4,5.1,-0.9864505844845908,CUSUM
500,0.01,0.7,1.1,377.2523340736499,191.75847327257256,-0.491697052734109,CEWMA
500,0.01,0.7,1.2,383.60929409359466,108.70643394262923,-0.71662200156155,CEWMA
500,0.01,0.7,1.3,383.60929409359466,66.30430506871328,-0.827156677146263,CEWMA
500,0.01,0.7,1.5,383.60929409359466,30.3314328623067,-0.92093144423423,CEWMA
500,0.01,0.7,1.7,383.60929409359466,17.103905955745134,-0.955413212820719,CEWMA
500,0.01,0.7,2,383.60929409359466,9.43882803380563,-0.97539468365565,CEWMA
500,0.01,0.7,1.1,370.2,178.7,-0.5172879524581308,CUSUM
500,0.01,0.7,1.2,370.2,100.3,-0.7290653700702323,CUSUM
500,0.01,0.7,1.3,370.2,63.0,-0.8298217179902755,CUSUM
500,0.01,0.7,1.5,370.2,31.7,-0.9143706104808212,CUSUM
500,0.01,0.7,1.7,370.2,19.5,-0.9473257698541329,CUSUM
500,0.01,0.7,2,370.2,11.8,-0.9681253376553214,CUSUM
500,0.02,0.7,1.1,371.0571521770213,149.8575178040425,-0.596133595795643,CEWMA
500,0.02,0.7,1.2,371.0571521770213,72.37093161367024,-0.804960149160137,CEWMA
500,0.02,0.7,1.3,372.2100443436143,40.32385673826927,-0.891663706149092,CEWMA
500,0.02,0.7,1.5,372.2100443436143,16.358394550322334,-0.956050636464768,CEWMA
500,0.02,0.7,1.7,372.2100443436143,8.963700128130577,-0.9759176296708,CEWMA
500,0.02,0.7,2,372.2100443436143,5.228630240730851,-0.985952474093085,CEWMA
500,0.02,0.7,1.1,370.9,138.4,-0.6268535993529253,CUSUM
500,0.02,0.7,1.2,370.9,64.8,-0.8252898355351846,CUSUM
500,0.02,0.7,1.3,370.9,36.2,-0.9023995686168779,CUSUM
500,0.02,0.7,1.5,370.9,16.1,-0.9565920733351307,CUSUM
500,0.02,0.7,1.7,370.9,9.5,-0.9743866271232138,CUSUM
500,0.02,0.7,2,370.9,5.8,-0.9843623618225936,CUSUM
500,0.05,0.7,1.1,381.8185324110941,102.05981285424286,-0.732700735583055,CEWMA
500,0.05,0.7,1.2,381.8185324110941,37.92655950860052,-0.90066862582834,CEWMA
500,0.05,0.7,1.3,381.8185324110941,18.234343741740528,-0.952243429289314,CEWMA
500,0.05,0.7,1.5,381.8185324110941,7.193405498895572,-0.981160145754395,CEWMA
500,0.05,0.7,1.7,381.8185324110941,4.459367051548602,-0.988320716065328,CEWMA
500,0.05,0.7,2,381.8185324110941,3.4685174210295298,-0.990915796048121,CEWMA
500,0.05,0.7,1.1,375.4,87.2,-0.7677144379328716,CUSUM
500,0.05,0.7,1.2,375.4,31.9,-0.9150239744272777,CUSUM
500,0.05,0.7,1.3,375.4,16.0,-0.9573787959509856,CUSUM
500,0.05,0.7,1.5,375.4,6.9,-0.9816196057538626,CUSUM
500,0.05,0.7,1.7,375.4,4.4,-0.9882791688865211,CUSUM
500,0.05,0.7,2,375.4,3.5,-0.9906766116142781,CUSUM
1000,0.01,0.9,1.1,371.81519485783326,180.57022580110498,-0.514354904537595,CEWMA
1000,0.01,0.9,1.2,371.81519485783326,100.83024699483893,-0.72881622809043,CEWMA
1000,0.01,0.9,1.3,371.81519485783326,63.068138766777984,-0.830377726249481,CEWMA
1000,0.01,0.9,1.5,371.81519485783326,31.875010524942667,-0.914271899142985,CEWMA
1000,0.01,0.9,1.7,371.81519485783326,20.414560877484686,-0.94509487196915,CEWMA
1000,0.01,0.9,2,371.81519485783326,13.74216103433839,-0.963040345783628,CEWMA
1000,0.01,0.9,1.1,371.0,177.6,-0.5212938005390836,CUSUM
1000,0.01,0.9,1.2,371.0,97.4,-0.7374663072776281,CUSUM
1000,0.01,0.9,1.3,371.0,59.8,-0.8388140161725067,CUSUM
1000,0.01,0.9,1.5,371.0,29.3,-0.9210242587601077,CUSUM
1000,0.01,0.9,1.7,371.0,18.6,-0.9498652291105121,CUSUM
1000,0.01,0.9,2,371.0,12.8,-0.9654986522911051,CUSUM
1000,0.02,0.9,1.1,373.32543338092086,141.6461843639177,-0.620582548900734,CEWMA
